,1,,,,2,,,,3,,,,,,,
135900,0,48.71265293,40.67724786,41.89271387,0,48.71365742,40.67829416,41.89359763,0,48.75357636,40.71953292,41.95804615,0,48.69139695,40.65573442,41.87050131
136800,0,48.70947144,40.6747316,41.89268871,0,48.71051353,40.67581608,41.89360847,0,48.75126416,40.71789874,41.95886642,0,48.68785089,40.65285461,41.87011626
137700,0,48.76128763,40.73980695,42.01026134,0,48.76240236,40.74096234,42.01126063,0,48.80423198,40.78416003,42.07721741,0,48.73945192,40.71762874,41.98734718
138600,0,48.76958759,40.74900662,42.02332126,0,48.7707169,40.75017645,42.0243357,0,48.81286938,40.79368806,42.09060398,0,48.74760137,40.72669095,42.00025804
139500,0,48.77721691,40.7574842,42.03553461,0,48.77836111,40.7586688,42.03656448,0,48.82084467,40.80250272,42.10315189,0,48.75507715,40.73502734,42.01231969
140400,0,48.78417151,40.76523529,42.04690141,0,48.78533092,40.766435,42.04794701,0,48.82815441,40.81060036,42.11486193,0,48.76187452,40.74263283,42.0235315
141300,0,48.06359691,39.86700416,41.51933328,0,48.0649751,39.86851016,41.5205576,0,48.11460746,39.91962428,41.59084403,0,48.0377935,39.8411558,41.49358288
142200,0,48.00744966,39.81080412,41.47343296,0,48.0088459,39.81232914,41.4746793,0,48.05900598,39.863973,41.54547203,0,47.98139714,39.78470084,41.44739314
143100,0,47.95136717,39.75465186,41.42691256,0,47.95278122,39.75619556,41.42818014,0,48.00346181,39.80836223,41.49946006,0,47.92506768,39.72829585,41.40059136
144000,0,47.89533147,39.6985323,41.37968966,0,47.89676451,39.70009576,41.3809823,0,47.94800585,39.75282436,41.45288104,0,47.86877574,39.67191498,41.3530569
144900,0,47.95361351,39.76197501,41.42040582,0,47.95504923,39.76353774,41.42171259,0,48.00614795,39.81612596,41.49403421,0,47.92722502,39.73550705,41.3937598
145800,0,47.90630331,39.71465552,41.38193561,0,47.90775663,39.71623639,41.38326461,0,47.95939292,39.76936289,41.45612625,0,47.87966616,39.68793359,41.35500372
146700,0,47.8590237,39.66735322,41.34259989,0,47.86049481,39.66895238,41.34395162,0,47.91270692,39.72265448,41.41748546,0,47.83213637,39.64037616,41.31538042
147600,0,47.81181702,39.62011175,41.30252823,0,47.8133057,39.62172896,41.30390185,0,47.86608339,39.67599678,41.3780751,0,47.78468084,39.59288121,41.27502871
148500,0,47.8036514,39.62362604,41.29682136,0,47.80514364,39.62523657,41.29820603,0,47.85824131,39.67980052,41.37290223,0,47.77632974,39.59620501,41.26908852
149400,0,47.76024944,39.58028645,41.26090709,0,47.7617581,39.58191375,41.2623118,0,47.81541232,39.63703452,41.33761393,0,47.73267742,39.55261027,41.23289953
